,Date;Cnc_Program_Name_RT;Cnc_Tool_Number_RT;System_IOLINK_CounterweightPressure;Axis_FeedRate_actual;Axis_Y_positionActualMCS_mm_d10000;System_IOLINK_HydraulicPressure;Axis_Y_power_percent;System_isHydraulicsOn;Axis_Z_positionActualMCS_mm_d10000;Axis_Z_power_percent;Cnc_Override_Axis;Target
142,2020-05-16T12:29:35.166Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
143,2020-05-16T12:29:36.166Z;contrapeso.H;0;170;0;7872995;164;10;1;14878923;0;100;0
144,2020-05-16T12:29:37.166Z;contrapeso.H;0;170;0;7872996;169;10;1;14878923;0;100;0
145,2020-05-16T12:29:38.166Z;contrapeso.H;0;170;0;7872996;168;10;1;14878923;0;100;0
146,2020-05-16T12:29:39.166Z;contrapeso.H;0;170;0;7872995;166;10;1;14878923;0;100;0
147,2020-05-16T12:29:40.166Z;contrapeso.H;0;170;0;7872995;165;10;1;14878923;0;100;0
148,2020-05-16T12:29:41.166Z;contrapeso.H;0;170;0;7872995;164;10;1;14878923;0;100;0
149,2020-05-16T12:29:42.166Z;contrapeso.H;0;170;0;7872995;162;10;1;14878923;0;100;0
150,2020-05-16T12:29:43.166Z;contrapeso.H;0;170;0;7872995;161;10;1;14878923;0;100;0
151,2020-05-16T12:29:44.166Z;contrapeso.H;0;170;0;7872995;160;10;1;14878923;0;100;0
152,2020-05-16T12:29:45.166Z;contrapeso.H;0;170;0;7872996;159;10;1;14878923;0;100;0
153,2020-05-16T12:29:46.166Z;contrapeso.H;0;170;0;7872995;158;10;1;14878923;0;100;0
154,2020-05-16T12:29:47.166Z;contrapeso.H;0;170;0;7872995;157;10;1;14878923;0;100;0
155,2020-05-16T12:29:48.167Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
156,2020-05-16T12:29:49.166Z;contrapeso.H;0;170;0;7872996;154;10;1;14878923;0;100;0
157,2020-05-16T12:29:50.166Z;contrapeso.H;0;170;0;7872995;153;10;1;14878923;0;100;0
158,2020-05-16T12:29:51.166Z;contrapeso.H;0;170;0;7872995;153;10;1;14878923;0;100;0
159,2020-05-16T12:29:52.166Z;contrapeso.H;0;170;0;7872995;152;10;1;14878923;0;100;0
160,2020-05-16T12:29:53.166Z;contrapeso.H;0;170;0;7872996;151;10;1;14878923;0;100;0
161,2020-05-16T12:29:54.166Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
162,2020-05-16T12:29:55.166Z;contrapeso.H;0;170;0;7872995;149;10;1;14878923;0;100;0
163,2020-05-16T12:29:56.166Z;contrapeso.H;0;170;0;7872996;148;10;1;14878923;0;100;0
164,2020-05-16T12:29:57.166Z;contrapeso.H;0;170;0;7872995;147;10;1;14878923;0;100;0
165,2020-05-16T12:29:58.166Z;contrapeso.H;0;170;0;7872996;146;10;1;14878923;0;100;0
166,2020-05-16T12:29:59.166Z;contrapeso.H;0;170;0;7872995;145;10;1;14878923;0;100;0
167,2020-05-16T12:30:00.166Z;contrapeso.H;0;170;0;7872996;145;10;1;14878923;0;100;0
168,2020-05-16T12:30:01.166Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
169,2020-05-16T12:30:02.166Z;contrapeso.H;0;170;0;7872996;150;10;1;14878923;0;100;0
170,2020-05-16T12:30:03.166Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
171,2020-05-16T12:30:04.166Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
172,2020-05-16T12:30:05.166Z;contrapeso.H;0;170;0;7872996;164;10;1;14878923;0;100;0
173,2020-05-16T12:30:06.166Z;contrapeso.H;0;170;0;7872996;169;10;1;14878923;0;100;0
174,2020-05-16T12:30:07.166Z;contrapeso.H;0;170;0;7872995;168;10;1;14878923;0;100;0
175,2020-05-16T12:30:08.166Z;contrapeso.H;0;170;0;7872995;166;10;1;14878923;0;100;0
176,2020-05-16T12:30:09.166Z;contrapeso.H;0;170;0;7872996;165;10;1;14878923;0;100;0
177,2020-05-16T12:30:10.166Z;contrapeso.H;0;170;0;7872995;164;10;1;14878923;0;100;0
178,2020-05-16T12:30:11.167Z;contrapeso.H;0;170;0;7872996;162;10;1;14878923;0;100;0
179,2020-05-16T12:30:12.166Z;contrapeso.H;0;170;0;7872995;161;10;1;14878923;0;100;0
180,2020-05-16T12:30:13.166Z;contrapeso.H;0;170;0;7872995;160;10;1;14878923;0;100;0
181,2020-05-16T12:30:14.166Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
182,2020-05-16T12:30:15.166Z;contrapeso.H;0;170;0;7872996;158;10;1;14878923;0;100;0
183,2020-05-16T12:30:16.166Z;contrapeso.H;0;170;0;7872995;157;10;1;14878923;0;100;0
184,2020-05-16T12:30:17.166Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
185,2020-05-16T12:30:18.166Z;contrapeso.H;0;170;0;7872995;154;10;1;14878923;0;100;0
186,2020-05-16T12:30:19.166Z;contrapeso.H;0;170;0;7872995;153;10;1;14878923;0;100;0
187,2020-05-16T12:30:20.166Z;contrapeso.H;0;170;0;7872996;152;10;1;14878923;0;100;0
188,2020-05-16T12:30:21.166Z;contrapeso.H;0;170;0;7872995;151;10;1;14878923;0;100;0
189,2020-05-16T12:30:22.166Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
190,2020-05-16T12:30:23.166Z;contrapeso.H;0;170;0;7872996;149;10;1;14878923;0;100;0
191,2020-05-16T12:30:24.166Z;contrapeso.H;0;170;0;7872995;148;10;1;14878923;0;100;0
192,2020-05-16T12:30:25.166Z;contrapeso.H;0;170;0;7872996;147;10;1;14878923;0;100;0
193,2020-05-16T12:30:26.166Z;contrapeso.H;0;170;0;7872995;147;10;1;14878923;0;100;0
194,2020-05-16T12:30:27.166Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
195,2020-05-16T12:30:28.166Z;contrapeso.H;0;170;0;7872996;145;10;1;14878923;0;100;0
196,2020-05-16T12:30:29.167Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
197,2020-05-16T12:30:30.167Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
198,2020-05-16T12:30:31.166Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
199,2020-05-16T12:30:32.166Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
200,2020-05-16T12:30:33.166Z;contrapeso.H;0;170;0;7872996;164;10;1;14878923;0;100;0
201,2020-05-16T12:30:34.166Z;contrapeso.H;0;170;0;7872995;169;10;1;14878923;0;100;0
202,2020-05-16T12:30:35.166Z;contrapeso.H;0;170;0;7872995;168;10;1;14878923;0;100;0
203,2020-05-16T12:30:36.166Z;contrapeso.H;0;170;0;7872995;166;10;1;14878923;0;100;0
204,2020-05-16T12:30:37.166Z;contrapeso.H;0;170;0;7872995;165;10;1;14878923;0;100;0
205,2020-05-16T12:30:38.166Z;contrapeso.H;0;170;0;7872996;164;10;1;14878923;0;100;0
206,2020-05-16T12:30:39.166Z;contrapeso.H;0;170;0;7872995;162;10;1;14878923;0;100;0
207,2020-05-16T12:30:40.166Z;contrapeso.H;0;170;0;7872995;161;10;1;14878923;0;100;0
208,2020-05-16T12:30:41.166Z;contrapeso.H;0;170;0;7872995;160;10;1;14878923;0;100;0
209,2020-05-16T12:30:42.167Z;contrapeso.H;0;170;0;7872996;159;10;1;14878923;0;100;0
210,2020-05-16T12:30:43.166Z;contrapeso.H;0;170;0;7872995;158;10;1;14878923;0;100;0
211,2020-05-16T12:30:44.166Z;contrapeso.H;0;170;0;7872995;157;10;1;14878923;0;100;0
212,2020-05-16T12:30:45.167Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
213,2020-05-16T12:30:46.166Z;contrapeso.H;0;170;0;7872996;154;10;1;14878923;0;100;0
214,2020-05-16T12:30:47.167Z;contrapeso.H;0;170;0;7872995;154;10;1;14878923;0;100;0
215,2020-05-16T12:30:48.166Z;contrapeso.H;0;170;0;7872995;153;10;1;14878923;0;100;0
216,2020-05-16T12:30:49.166Z;contrapeso.H;0;170;0;7872995;152;10;1;14878923;0;100;0
217,2020-05-16T12:30:50.166Z;contrapeso.H;0;170;0;7872995;151;10;1;14878923;0;100;0
218,2020-05-16T12:30:51.166Z;contrapeso.H;0;170;0;7872996;150;10;1;14878922;0;100;0
219,2020-05-16T12:30:52.166Z;contrapeso.H;0;170;0;7872995;149;11;1;14878923;0;100;0
220,2020-05-16T12:30:53.166Z;contrapeso.H;0;170;0;7872996;148;11;1;14878923;0;100;0
221,2020-05-16T12:30:54.166Z;contrapeso.H;0;170;0;7872995;147;11;1;14878923;0;100;0
222,2020-05-16T12:30:55.166Z;contrapeso.H;0;170;0;7872995;146;12;1;14878923;0;100;0
223,2020-05-16T12:30:56.166Z;contrapeso.H;0;170;0;7872995;145;12;1;14878923;0;100;0
224,2020-05-16T12:30:57.166Z;contrapeso.H;0;171;0;7872996;145;11;1;14878923;0;100;0
225,2020-05-16T12:30:58.166Z;contrapeso.H;0;170;0;7872995;146;11;1;14878923;0;100;0
226,2020-05-16T12:30:59.166Z;contrapeso.H;0;171;0;7872995;150;11;1;14878923;0;100;0
227,2020-05-16T12:31:00.166Z;contrapeso.H;0;170;0;7872996;155;11;1;14878923;0;100;0
228,2020-05-16T12:31:01.166Z;contrapeso.H;0;171;0;7872995;159;11;1;14878923;0;100;0
229,2020-05-16T12:31:02.166Z;contrapeso.H;0;170;0;7872995;164;11;1;14878923;0;100;0
230,2020-05-16T12:31:03.210Z;contrapeso.H;0;171;0;7872995;169;11;1;14878923;0;100;0
231,2020-05-16T12:31:04.166Z;contrapeso.H;0;171;0;7872995;168;10;1;14878923;0;100;0
232,2020-05-16T12:31:05.167Z;contrapeso.H;0;170;0;7872995;166;10;1;14878923;0;100;0
233,2020-05-16T12:31:06.166Z;contrapeso.H;0;170;0;7872995;165;10;1;14878923;0;100;0
234,2020-05-16T12:31:07.166Z;contrapeso.H;0;171;0;7872996;164;10;1;14878923;0;100;0
235,2020-05-16T12:31:08.166Z;contrapeso.H;0;171;0;7872995;162;10;1;14878923;0;100;0
236,2020-05-16T12:31:09.166Z;contrapeso.H;0;171;0;7872996;161;10;1;14878923;0;100;0
237,2020-05-16T12:31:10.166Z;contrapeso.H;0;171;0;7872996;160;10;1;14878923;0;100;0
238,2020-05-16T12:31:11.166Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
239,2020-05-16T12:31:12.166Z;contrapeso.H;0;171;0;7872995;158;10;1;14878923;0;100;0
240,2020-05-16T12:31:13.166Z;contrapeso.H;0;171;0;7872996;157;10;1;14878923;0;100;0
241,2020-05-16T12:31:14.166Z;contrapeso.H;0;171;0;7872995;155;10;1;14878923;0;100;0
242,2020-05-16T12:31:15.166Z;contrapeso.H;0;171;0;7872996;154;10;1;14878923;0;100;0
243,2020-05-16T12:31:16.166Z;contrapeso.H;0;171;0;7872995;153;10;1;14878923;0;100;0
244,2020-05-16T12:31:17.166Z;contrapeso.H;0;171;0;7872995;152;10;1;14878923;0;100;0
245,2020-05-16T12:31:18.166Z;contrapeso.H;0;171;0;7872996;151;10;1;14878923;0;100;0
246,2020-05-16T12:31:19.166Z;contrapeso.H;0;171;0;7872995;150;10;1;14878923;0;100;0
247,2020-05-16T12:31:20.166Z;contrapeso.H;0;171;0;7872995;149;10;1;14878923;0;100;0
248,2020-05-16T12:31:21.166Z;contrapeso.H;0;171;0;7872995;148;10;1;14878923;0;100;0
249,2020-05-16T12:31:22.166Z;contrapeso.H;0;171;0;7872995;147;10;1;14878923;0;100;0
